0.1 	 2083 
0.2 	 360 
0.3 	 784 
0.4 	 1429 
0.5 	 1673 
0.6 	 1608 
0.7 	 1353 
0.8 	 1390 
0.9 	 1563 
1 	 4901 
1.1 	 183 
1.2 	 173 
1.3 	 241 
1.4 	 279 
1.5 	 344 
1.6 	 310 
1.7 	 326 
1.8 	 355 
1.9 	 298 
2 	 936 
2.1 	 86 
2.2 	 93 
2.3 	 95 
2.4 	 85 
2.5 	 95 
2.6 	 91 
2.7 	 76 
2.8 	 83 
2.9 	 79 
3 	 151 
3.1 	 39 
3.2 	 25 
3.3 	 27 
3.4 	 35 
3.5 	 36 
3.6 	 26 
3.7 	 39 
3.8 	 22 
3.9 	 39 
4 	 81 
4.1 	 18 
4.2 	 15 
4.3 	 14 
4.4 	 15 
4.5 	 10 
4.6 	 10 
4.7 	 12 
4.8 	 22 
4.9 	 12 
5 	 32 
5.1 	 10 
5.2 	 9 
5.3 	 11 
5.4 	 13 
5.5 	 10 
5.6 	 9 
5.7 	 6 
5.8 	 6 
5.9 	 11 
6 	 13 
6.1 	 8 
6.2 	 6 
6.3 	 4 
6.4 	 5 
6.5 	 6 
6.6 	 3 
6.7 	 7 
6.8 	 5 
6.9 	 7 
7 	 14 
7.1 	 2 
7.2 	 4 
7.3 	 3 
7.4 	 2 
7.5 	 3 
7.6 	 8 
7.7 	 4 
7.8 	 7 
7.9 	 3 
8 	 11 
8.1 	 2 
8.2 	 5 
8.3 	 2 
8.4 	 1 
8.5 	 1 
8.6 	 5 
8.7 	 5 
8.8 	 2 
8.9 	 1 
9 	 13 
9.1 	 2 
9.2 	 4 
9.3 	 3 
9.4 	 4 
9.5 	 2 
9.6 	 4 
9.7 	 3 
9.8 	 3 
9.9 	 2 
10 	 7 
10.1 	 0 
10.2 	 1 
10.3 	 6 
10.4 	 1 
10.5 	 2 
10.6 	 2 
10.7 	 3 
10.8 	 4 
10.9 	 7 
11 	 8 
11.1 	 3 
11.2 	 1 
11.3 	 3 
11.4 	 2 
11.5 	 3 
11.6 	 2 
11.7 	 2 
11.8 	 2 
11.9 	 0 
12 	 6 
12.1 	 1 
12.2 	 1 
12.3 	 1 
12.4 	 0 
12.5 	 1 
12.6 	 0 
12.7 	 1 
12.8 	 4 
12.9 	 2 
13 	 4 
13.1 	 4 
13.2 	 0 
13.3 	 4 
13.4 	 3 
13.5 	 3 
